beginDate,stage,price
2016-04-17,Paddy,439.25
2016-04-24,Paddy,439.25
2016-05-01,Paddy,433.4166666666667
2016-05-08,Paddy,426.3333333333333
2016-05-15,Paddy,426.3333333333333
2016-05-22,Paddy,426.3333333333333
2016-05-29,Paddy,415.54545454545456
2016-06-05,Paddy,414.45454545454544
2016-06-12,Paddy,423.1
2016-06-19,Paddy,427.1
2016-06-26,Paddy,453.6
2016-07-03,Paddy,467.1
2016-07-10,Paddy,467.6
2016-07-17,Paddy,467.6
2016-07-24,Paddy,456.0
2016-07-31,Paddy,318.6
2016-08-07,,
2016-08-14,,
2016-08-21,Paddy,319.5
2016-08-28,Paddy,319.5
2016-09-04,Paddy,319.5
2016-09-11,,
2016-09-18,,
2016-09-25,,
2016-10-02,Paddy,331.1111111111111
2016-10-09,Paddy,355.4166666666667
2016-10-16,Paddy,356.6666666666667
2016-10-23,Paddy,358.1666666666667
2016-10-30,,
2016-11-06,Paddy,364.75
2016-11-13,Paddy,369.3333333333333
2016-11-20,Paddy,363.0833333333333
2016-11-27,Paddy,359.3333333333333
2016-12-04,Paddy,353.9166666666667
2016-12-11,Paddy,351.4166666666667
2016-12-18,Paddy,351.4166666666667
2016-12-25,Paddy,351.4166666666667
2017-01-01,Paddy,351.4166666666667
2017-01-08,Paddy,347.25
2017-01-15,Paddy,341.25
2017-01-22,Paddy,335.0
2017-01-29,Paddy,333.75
2017-02-05,Paddy,330.0
2017-02-12,Paddy,332.0833333333333
2017-02-19,Paddy,330.8333333333333
2017-02-26,Paddy,329.4166666666667
2017-03-05,Paddy,328.5833333333333
2017-03-12,Paddy,326.9166666666667
2017-03-19,Paddy,324.0
2017-03-26,Paddy,320.75
2017-04-02,Paddy,318.25
2017-04-09,Paddy,316.5833333333333
2017-04-16,Paddy,316.5833333333333
2017-04-23,,
2017-04-30,Paddy,310.4166666666667
2017-05-07,Paddy,305.0
2017-05-14,Paddy,300.0
2017-05-21,Paddy,299.1666666666667
2017-05-28,Paddy,299.1666666666667
2017-06-04,Paddy,299.1666666666667
2017-06-11,Paddy,297.5
2017-06-18,Paddy,288.0
2017-06-25,Paddy,289.0
2017-07-02,Paddy,289.0
2017-07-09,Paddy,288.5
2017-07-16,Paddy,258.18
2017-07-23,Paddy,258.18
2017-07-30,,
2017-08-06,,
2017-08-13,,
2017-08-20,Paddy,174.09
2017-08-27,Paddy,174.55
2017-09-03,,
2017-09-10,,
2017-09-17,,
2017-09-24,Paddy,163.18
2017-10-01,Paddy,244.135
2017-10-08,Paddy,258.18
2017-10-15,Paddy,275.18
2017-10-22,Paddy,280.865
2017-10-29,Paddy,289.18
2017-11-05,Paddy,290.54499999999996
2017-11-12,Paddy,291.59000000000003
2017-11-19,Paddy,291.59000000000003
2017-11-26,Paddy,290.40999999999997
2017-12-03,Paddy,290.40999999999997
2017-12-10,Paddy,290.40999999999997
2017-12-17,Paddy,290.40999999999997
2017-12-24,,
2017-12-31,,
2018-01-07,Paddy,290.865
2018-01-14,Paddy,289.225
2018-01-21,Paddy,289.09000000000003
2018-01-28,Paddy,288.635
2018-02-04,Paddy,288.635
2018-02-11,Paddy,288.95500000000004
2018-02-18,Paddy,291.45500000000004
2018-02-25,Paddy,293.635
2018-03-04,Paddy,296.54499999999996
2018-03-11,Paddy,298.54499999999996
2018-03-18,Paddy,300.365
2018-03-25,Paddy,302.95500000000004
